DJ_1,YG_F_2,YG_B_2,ZXZ_YL_1,NJB_SZ_11,YG_A_2,YG_D_2,KWC_YL_1,volume_weight,cohesion,DJ_2,DJ_3,NJB_SZ_21,ZXZ_YL_2,KWC_YL_2,ZZJL,YG_E_2,YG_C_2,frictional_angle,DJ_4,DX_DW_1
51242.52874,130.8505747,131.0574713,2.020344828,78.26436782,131.4942529,132.3678161,1.146551724,19.72492313,9.417055525,19.53563218,0.979770115,85.72413793,2.057586207,1.145287356,45.04,131.2643678,131.5862069,24.62421776,4127.126437,11.4
52151.16279,126.6976744,127.0697674,1.91744186,71.53488372,127.8604651,125.9534884,1.151162791,19.72043533,9.566702644,25.35116279,0.801395349,84.41860465,1.951395349,1.150232558,74.54,127.2093023,127.9534884,24.57981651,4288.72093,14.0
53903.84615,113.9230769,113.8461538,1.916538462,78.05769231,114.1538462,113.0769231,1.146730769,19.71610942,9.709386733,25.93269231,0.841923077,89.90384615,1.953653846,1.146153846,105.36,113.9615385,113.8846154,24.53729662,4466.923077,15.6
52087.17949,107.4871795,107.4871795,1.920512821,82.53846154,107.5897436,106.7179487,1.118974359,19.71176471,9.859143416,24.18974359,0.8,89.66666667,1.957435897,1.117692308,26.92,107.3333333,107.3846154,24.49186067,4531.025641,16.2
52071.42857,104.6031746,104.4444444,1.916507937,77.47619048,105.1428571,104.1904762,1.133809524,19.7075605,9.998781134,19.77460317,1.006031746,87.44444444,1.950952381,1.132857143,27.46,104.7301587,105.1111111,24.45048578,4481.746032,17.0
53698.30508,105.9661017,106.7118644,1.917118644,82.0,106.9830508,106.9491525,1.144576271,19.70328416,10.14102564,23.84237288,0.803728814,92.33898305,1.951525424,1.143220339,26.26,106.6440678,106.8474576,24.40642782,4531.355932,19.0
51360.52632,103.6842105,104.3157895,1.917631579,82.0,104.6315789,105.7894737,1.128157895,19.69916172,10.27907789,25.23421053,0.804736842,92.10526316,1.953947368,1.127368421,21.82,104.2105263,104.7368421,24.36603213,4565.0,16.4
53641.96762,59.501868,55.84433375,1.924508095,75.85927771,67.05230386,72.97011208,1.178356164,19.69498264,10.4196875,19.75641345,1.008966376,85.28268991,1.960547945,1.1750934,27.98,69.67372354,68.43462017,24.32513889,4472.3132,13.0
54552.41605,63.66093366,68.84029484,2.046838657,80.63882064,70.29074529,66.79197379,1.178001638,19.69079765,10.55680249,24.83579034,0.83004095,88.37018837,2.081662572,1.174643735,34.5,64.3046683,68.37919738,24.28290746,5086.936937,12.0
51904.8583,61.8582996,73.09311741,2.046680162,81.36167341,79.00269906,55.43859649,1.123711201,19.68693786,10.68800206,23.08340081,0.883967611,91.1417004,2.083859649,1.119460189,21.1,50.68690958,61.048583,24.24383797,4425.337382,11.0
51332.08072,65.87613083,76.39944328,2.047773138,80.0,79.30271399,49.57898399,1.141029923,19.68289811,10.82235876,21.50139179,0.881503132,88.95476688,2.083841336,1.136416145,39.7,48.15031315,59.17397356,24.20218467,4156.162143,8.8
49645.06641,62.88045541,56.09677419,1.925939279,77.10721063,64.17836812,65.29886148,1.099316888,19.67901884,10.95077236,18.81916509,0.995806452,88.63187856,1.961726755,1.094544592,31.3,57.68595825,58.08349146,24.16745884,4170.50759,7.6
49412.16834,64.21043001,51.69716377,1.924803294,78.99085087,64.55626715,62.62763038,1.097612077,19.67500844,11.08650017,20.41143641,0.962067704,88.27172919,1.961043001,1.093412626,31.6,66.83989021,53.17840805,24.12462032,4787.497713,4.0
49625.3211,62.38715596,51.35412844,1.926165138,77.91834862,69.15688073,60.76697248,1.118366972,19.67121034,11.2119859,23.07697248,0.850220183,88.85137615,1.962862385,1.114155963,31.6,64.46605505,55.76330275,24.08740977,4608.426606,3.0
50019.62865,61.34217507,57.68435013,1.995862069,78.52431477,63.40141468,66.37312113,1.195800177,19.66735682,11.34155953,22.18461538,0.858567639,88.86295314,2.032298851,1.191034483,31.9,59.43678161,58.89124668,24.04706963,4742.84388,-1.0
50438.7574,61.78599606,55.58086785,2.093313609,83.0,59.05325444,69.34615385,1.302031558,19.66352922,11.46794489,22.6,0.850946746,90.82642998,2.12964497,1.297544379,31.96,66.0729783,59.33037475,24.00997676,4886.385602,-2.6
48145.67901,59.0627572,49.62139918,1.993641975,82.0,49.04012346,71.91049383,1.224773663,19.65992404,11.58946499,22.95771605,0.83808642,90.49588477,2.030072016,1.22026749,31.4,69.81069959,55.41049383,23.97569353,4672.875514,-7.0
47480.85809,60.25292529,42.73357336,1.994572457,79.95319532,41.15931593,77.02970297,1.198523852,19.65622332,11.71617406,22.34221422,0.853087309,91.24392439,2.02939694,1.194212421,32.1,73.10171017,56.40954095,23.93609195,4651.259054,-9.0
48240.58704,63.83704453,40.44838057,1.99417004,79.92813765,35.86639676,76.67408907,1.255779352,19.65242607,11.83785329,25.05991903,0.803785425,91.16093117,2.029534413,1.251649798,30.72,78.73380567,63.28238866,23.89937919,4861.847166,-11.0
46100.97345,61.61415929,42.5380531,1.993761062,75.44424779,41.98849558,61.07876106,1.142212389,19.64891163,11.9571475,22.6399115,0.878389381,87.93274336,2.028460177,1.137584071,30.9,75.40176991,61.87168142,23.86460364,4696.544248,-6.8
46378.27681,50.21814849,36.72043996,1.991860678,76.9908341,41.51604033,89.69385885,1.155582035,19.64545895,12.07375566,25.26333639,0.796608616,89.42254812,2.027736022,1.150568286,29.06,61.44637947,57.61411549,23.83125404,4665.985335,-8.0
47605.02283,49.50502283,40.10684932,1.994210046,78.10045662,44.25570776,88.41826484,1.212401826,19.64733643,12.12597984,22.47689498,0.85713242,89.18721461,2.029068493,1.208164384,30.0,64.54794521,59.88584475,23.80217565,4674.776256,-9.0
48441.98747,50.83885407,42.41539839,2.057538048,79.66517457,51.17815577,88.0340197,1.282023277,19.65270228,12.13042035,21.33536258,0.878137869,89.3912265,2.091853178,1.277358997,30.6,59.08594449,59.66965085,23.78206384,4901.468218,-10.8
48316.26734,54.4035309,44.55233291,2.055018916,79.01387137,47.91551072,72.98486759,1.303757881,19.65798752,12.13432137,26.5704918,0.935435057,93.03909206,2.090517024,1.299659521,30.6,71.82345523,64.87137453,23.7624649,5354.873897,-16.0
47356.97674,54.05697674,42.30930233,2.058546512,78.40116279,42.27906977,75.55,1.261406977,19.66325116,12.13677966,26.33988372,0.913255814,92.38604651,2.091395349,1.257593023,29.9,74.04883721,61.06976744,23.74412943,5298.837209,-8.6
45842.41645,53.32647815,41.52699229,2.063624679,79.0,43.37532134,73.44215938,1.197750643,19.66831608,12.14051462,26.90526992,0.904267352,94.68251928,2.093521851,1.193868895,29.9,71.76735219,54.17994859,23.72682704,5177.056555,-10.0
46375.59985,63.05811404,43.57346491,2.060120614,80.0,49.25767544,68.30592105,1.216798246,19.67328922,12.14302903,26.34824561,0.919736842,95.45394737,2.095153509,1.212083333,31.1,73.5,43.81140351,23.70971575,5330.328947,-14.0
47665.46053,67.41776316,41.94517544,2.061600877,79.29714912,49.26425439,72.28070175,1.243563596,19.67815426,12.14602467,26.59002193,0.902368421,96.26973684,2.09566886,1.239440789,31.26,72.30372807,47.58662281,23.6917224,5320.4375,-13.6
46965.89525,66.65042631,46.28014616,2.05683313,76.80267966,49.59317905,62.10353228,1.240194884,19.68279001,12.15160059,27.62655298,0.878562728,91.46650426,2.092192448,1.235542022,30.8,67.00121803,56.87819732,23.67321586,5362.484775,-16.0
48090.89875,67.5745165,45.10011377,2.058498294,78.80773606,57.67235495,60.47667804,1.282707622,19.68740203,12.15267054,28.33367463,0.886461889,90.44368601,2.092957907,1.278384528,29.4,66.43686007,58.19795222,23.65764877,5607.01934,-32.0
48761.56716,68.91915423,40.04228856,2.058345771,79.20522388,63.2300995,61.11691542,1.315995025,19.69187599,12.15805942,24.43656716,1.052089552,91.56965174,2.094626866,1.311902985,28.44,71.66666667,53.47636816,23.64117985,5637.810945,-31.0
51923.83124,68.89053592,38.16761688,2.182371722,79.45267959,60.71493729,82.03648803,1.422508552,19.69633939,12.15524972,24.79122007,0.988118586,89.72748005,2.214777651,1.418323831,29.42,76.66932725,52.00570125,23.62860386,5910.256556,-29.4
